barName,barLicense,State of Residence,Hours of Op
ECLECTIC CAFå,BL057,SD,10AM--12PM
CLIFTON PARK GOLF COURSE SNACK BAR,BL109,HI,8AM--11PM
BALTIMORE COUNTRY CLUB,BL947,NV,7AM--11PM
BUTTS & BETTY'S TAVERN  INC.,BL856,IL,7AM--11PM
BLUE SEA GRILL,BL937,AZ,9AM--12PM
EAGLE NEST,BL084,DE,6AM--12PM
EDO SUSHI,BL980,MO,8AM--12PM
COLLINS CORNER,BL719,MT,9AM--12PM
ACROPOLIS RESTAURANT,BL696,NE,10AM--11PM
CHINATOWN CAFå,BL590,AZ,9AM--11PM
EL RANCHO BLANCO,BL713,MD,8AM--11PM
BOULDER GARDEN CAFE,BL928,WI,8AM--12PM
DUNKIN DONUTS & BASKIN ROBBINS,BL536,MO,8AM--11PM
GARDEN BEEF & BEER,BL937,KS,7AM--11PM
BLUE CRAB EXPRESS & CAFå INC.,BL623,HI,7AM--11PM
FREDERICK STATION SALOON,BL725,MI,8AM--12PM
E C CAFå & CATERING,BL146,NH,8AM--11PM
AMBROSIA'S,BL941,TN,9AM--12PM
GALLAGHERS BAR & GRILL    (938-940),BL772,ME,10AM--11PM
EAST BALTIMORE ENTERPRISE,BL218,DE,8AM--11PM
BALTIMORE MARRIOTT WATERFRONT/RIGANOS DELI,BL300,NE,8AM--12PM
BLACKTIE SERVICE  LLP,BL340,WV,10AM--11PM
DESERT CAFE'(1605-07),BL393,DC,10AM--11PM
BEST WESTERN TRAVEL PLAZA,BL534,AK,7AM--12PM
CANTON'S PORTSIDE TAVERN,BL495,GA,10AM--12PM
BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA,BL715,HI,7AM--12PM
CORKY'S GRILL,BL695,WY,9AM--11PM
AMERICAN LEGION POST #187,BL114,WV,7AM--12PM
BAY ATLANTIC CLUB,BL389,DC,9AM--11PM
CLUB LUZERENE,BL484,CA,9AM--12PM
DAILY GRIND,BL005,FL,10AM--12PM
BURGER KING #10294,BL584,IN,10AM--12PM
CHIMES CAFå,BL047,HI,9AM--12PM
CAFå AZAFRAN,BL515,MA,8AM--12PM
BURGER KING #10295,BL545,CO,9AM--12PM
ANGELS ROCK BAR,BL070,IN,9AM--11PM
GERMANIO'S RESTAURANT,BL158,IL,6AM--12PM
CLUB LUZERENE,BL436,DE,10AM--12PM
EDO SUSHI,BL014,AZ,8AM--12PM
CHINA EAST,BL865,DE,8AM--11PM
COFFEE LAND,BL564,DE,8AM--12PM
COCONUT CAFå,BL980,CO,10AM--11PM
AIRPORT BAR & GRILL  INC.,BL004,CA,9AM--12PM
CREPE DU JOUR,BL340,AK,10AM--12PM
EASTSIDE  SPORTS  SOCIAL  CLUB,BL337,CA,9AM--11PM
BLARNEY STONE INN,BL129,OR,9AM--12PM
BANTHAI,BL231,HI,9AM--12PM
BYZANTIO CAFå,BL263,ND,8AM--11PM
BEACH  BUMS CAFå,BL028,NE,7AM--11PM
DEEP SIDE RESTAURANT & CAFå,BL331,MA,10AM--12PM
CLUB MIAMI,BL239,MN,8AM--11PM
B & J RESTAURANT,null,UT,10AM--12PM
BRUCE MCKELDIN CONSULTING  LLC,BL374,AR,10AM--12PM
babalu grill,BL797,MN,9AM--11PM
BEACH  BUMS CAFå,BL220,IA,6AM--12PM
CLUB MATE,BL242,CO,6AM--12PM
FOGO DE CHAO,BL999,HI,6AM--11PM
CARLOS O'CHARLIES,BL534,TN,8AM--12PM
CHEERLEADERS SPORTS BAR,BL108,ME,8AM--11PM
EL RANCHO BLANCO,BL296,DE,8AM--11PM
CLASSIC CAFE EXPRESS,BL592,FL,8AM--12PM
CHICKEN RICO,BL334,AZ,7AM--11PM
ALFEO'S,BL005,DC,8AM--12PM
DESERT CAFE'(1605-07),BL433,HI,6AM--12PM
CAROLINAS TEX- MEX RESTAURANT,BL946,OR,9AM--11PM
BLACKTIE SERVICES,BL950,null,6AM--12PM
COMMON GROUND,BL715,AL,10AM--11PM
CAFå GOURMET,BL709,MD,9AM--12PM
AMERICAN LEGION POST #187,BL848,MA,9AM--11PM
ESPN  ZONE,BL091,CA,9AM--11PM
DUNKIN DONUTS,BL877,MA,9AM--12PM
CHICKEN RICO,BL937,CO,9AM--11PM
CLUB MATE,BL636,FL,6AM--12PM
courthouse east caf‰Û_',BL971,MI,8AM--12PM
CINCO DE MAYO,BL579,CO,10AM--12PM
FELL'S POINT CARRYOUT,BL233,AL,9AM--12PM
BELT STREET PUB,BL231,NY,7AM--11PM
CARL REFEERS BAR & GRILL,BL716,UT,8AM--12PM
EL RINCONCITO PERUANO,BL239,MI,8AM--11PM
CAFE ZEN,BL758,DC,9AM--11PM
FULTON RESTAURANT,BL813,KS,7AM--11PM
CHUNG MEE RESTAURANT,BL230,MO,9AM--11PM
DIANNE'S RESTAURANT LOUNGE,BL307,UT,9AM--11PM
asian taste,BL530,FL,9AM--12PM
DASH SEAFOOD & CHICKEN,BL877,OK,8AM--11PM
EL RECODO  INC.,BL576,MA,8AM--12PM
BOP BRICK OVEN PIZZA,BL492,OK,9AM--12PM
CANTINA LAS AMERICAS/LA RUMBA,BL492,FL,9AM--12PM
CORRADO'S CAFå,BL971,MO,8AM--11PM
AUSTIN GRILL,BL311,LA,9AM--12PM
BROOKLYN PLEASURE CLUB,BL590,MT,9AM--11PM
GEORGE'S CAFETERIA,BL436,MS,7AM--12PM
family diner,BL402,MO,9AM--12PM
DESERT CAFE'(1605-07),BL126,AL,7AM--12PM
CLUB CLIMAX,BL834,DE,8AM--12PM
BLARNEY STONE PUB,BL634,MS,8AM--11PM
ELKS I.B.P.O.E.OF W.,BL991,CT,8AM--12PM
COCKY LOU'S,BL058,SD,10AM--11PM
GOLDEN NUGGET LOUNGE,BL850,CO,7AM--11PM
EDISON   LOUNGE,BL758,CT,10AM--12PM
CAFå ON THE SQUARE  LLC,BL877,MO,9AM--12PM
CATCH 22 SALOON,BL592,CA,10AM--11PM
CAFå GOURMET,BL660,IN,7AM--11PM
null,BL141,null,9AM--12PM
B & O CAFE,BL484,NY,8AM--11PM
BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA,BL744,AK,7AM--12PM
BAY ATLANTIC CLUB,BL520,TN,7AM--12PM
DAVID & DAD'S LLC,BL114,MT,8AM--11PM
DOWN THE HATCH,BL047,MO,7AM--12PM
ABACROMBIE FINE FOODS,BL062,HI,8AM--12PM
GOLDEN NUGGET,BL639,GA,7AM--12PM
GAFFNEY'S BACK FIN ( seasonal),BL114,CO,7AM--11PM
E C CAFå & CATERING,BL577,WY,9AM--12PM
ALE MARY'S,BL036,WY,9AM--11PM
FIVE SEASONS,BL146,ND,7AM--11PM
COOKIE'S  CITY  LINE  DINER,BL317,AR,8AM--11PM
ALOHA TOKYO,BL127,KS,10AM--12PM
CHARLES VILLAGE PUB,BL370,AL,7AM--11PM
EAST BALTIMORE ENTERPRISE,BL117,AZ,9AM--12PM
BERTHA'S RESTAURANT,BL481,AL,9AM--11PM
BLACKTIE SERVICES,BL166,GA,6AM--12PM
FLAMINGO  LOUNGE,BL907,NE,8AM--12PM
CLUB MATE,BL355,MN,10AM--12PM
CLUB PHOENIX,BL946,TN,7AM--12PM
CARL REFEERS BAR & GRILL,BL005,IA,7AM--12PM
AU BON PAIN,BL020,MO,10AM--12PM
BAY ATLANTIC CLUB,BL296,MA,9AM--12PM
DUKEM ETHIOPIAN RESTAURANT,BL005,NE,9AM--11PM
CARROLL STATION,BL127,WV,8AM--11PM
AU BON PAIN,BL962,NE,10AM--12PM
EDO SUSHI,BL416,ME,9AM--11PM
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),BL733,UT,8AM--12PM
FORT CHARLES PUB,BL506,OR,10AM--12PM
DOWNTOWN SPORTS EXCHANGE,BL660,NC,9AM--12PM
FIELDS RIB HOUSE,BL118,MD,6AM--11PM
A & W RESTAURANT,BL481,MT,6AM--12PM
CANTON'S PORTSIDE TAVERN,BL591,HI,9AM--12PM
DAILY GRIND,BL909,WV,8AM--12PM
GILMOR PLEASURE CLUB,BL332,WV,8AM--11PM
DASH SEAFOOD & CHICKEN,BL384,NY,9AM--12PM
ELVIS RESTAURANT,BL285,NH,8AM--12PM
Fleming's Prime Steakhouse and Wine Bar,BL393,CT,7AM--12PM
CIRCUS BAR & RESTAURANT,BL638,MO,7AM--11PM
FIELDER'S TAVERN,BL930,OR,7AM--12PM
FIELDS OLD TRAIL,BL241,MT,6AM--11PM
COACH HOUSE INN,BL534,MO,8AM--12PM
CLUB LUZERENE,BL534,OK,7AM--11PM
CATALINA RESTAURANT,BL176,ME,8AM--11PM
CARIBOU COFFEE,BL341,MD,8AM--11PM
DECADES SPORTS BAR,BL770,CO,8AM--11PM
3 MILES HOUSE  INC.,BL980,GA,8AM--11PM
BURGER KING,BL377,KS,9AM--12PM
FRIEND'S RESTAURANT AND SPIRITS,BL777,NY,8AM--11PM
BELT STREET PUB,BL714,MT,9AM--12PM
GAFFNEY'S BACK FIN ( seasonal),BL239,AR,10AM--12PM
ABACROMBIE FINE FOODS,BL534,TN,7AM--12PM
GECKOS,BL689,ND,6AM--12PM
ARAMARK FHC SPORTS (BAR 217),BL732,OR,6AM--12PM
CLUB RIO & TOUCH OF CLASS,BL660,CO,7AM--12PM
CAFE MANET,BL695,SC,9AM--12PM
BO BROOKS,BL660,TN,7AM--12PM
CLUB CLIMAX,BL389,WV,7AM--11PM
GOLDEN NUGGET LOUNGE,BL010,CO,8AM--12PM
FIELDS RIB HOUSE,BL508,null,10AM--12PM
CARROLL STATION,BL501,ME,7AM--11PM
EDO SUSHI,BL588,MS,10AM--11PM
ARAMARK FHC SPORTS (BAR 221),BL616,HI,8AM--11PM
BALTIMORE COUNTRY CLUB,BL907,IL,10AM--12PM
EASTSIDE  SPORTS  SOCIAL  CLUB,BL322,null,8AM--11PM
GOOD TIMES BAR AND LOUNGE,BL468,FL,6AM--11PM
CHARLES RESTAURANT  &  CARRYOUT,BL791,MT,7AM--12PM
ARAMARK FHC SPORTS (BAR 236),BL664,WY,8AM--12PM
BIG KAHUNA CANTINA,BL014,WY,7AM--12PM
ELKS I.B.P.O.E.OF W.,BL714,WV,10AM--11PM
B & J RESTAURANT,BL031,MS,7AM--11PM
FIVE SEASONS,BL265,NY,8AM--12PM
B-WATCH,BL579,FL,9AM--11PM
CLUB MIAMI,BL728,WV,9AM--11PM
BREEZE INC.,BL963,MD,8AM--12PM
CHESAPEAKE BAY RESTAURANT,BL800,NE,6AM--12PM
CEDONIA INN,BL922,ME,7AM--12PM
B.G.'S PUB INCORPORATED,BL361,NE,9AM--11PM
CHARLIE & DEE RESTAURANT,BL930,AL,10AM--11PM
AKDEY SUBWAY  INC.,BL695,MA,10AM--11PM
G & A RESTAURANT,BL777,RI,10AM--12PM
CASSANOVIA,BL930,AL,9AM--11PM
BLUE POINT CRAB HOUSE (seasonal),BL805,MS,8AM--11PM
E C CAFå & CATERING,BL864,NE,9AM--12PM
CHINESE DELIGHT,BL382,MS,6AM--12PM
B.G.'S PUB INCORPORATED,BL506,FL,7AM--12PM
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),BL109,MI,8AM--11PM
GARDEN BEEF & BEER,BL248,NY,9AM--11PM
FOUR G'S LIQUOR & LOUNGE,BL941,SC,7AM--12PM
GARDEN RESTAURANT,BL636,MT,9AM--12PM
europe restaurant & catering,BL577,SC,10AM--12PM
CIRCUS BAR & RESTAURANT,BL265,SD,9AM--11PM
AUSTIN GRILL,BL298,AR,8AM--12PM
ARAMARK FHC SPORTS (BAR 252-253),BL014,MS,10AM--12PM
DEEP SIDE RESTAURANT & CAFå,BL874,PA,9AM--12PM
FIVE SEASONS,BL928,MD,8AM--12PM
COTTON CLUB,BL714,NY,10AM--11PM
FILLIN' STATION,BL384,ND,7AM--11PM
CANTINA LAS AMERICAS/LA RUMBA,BL747,FL,6AM--11PM
ARAMARK/PNC,BL532,NH,10AM--12PM
ABC SUSHI,BL862,NY,7AM--12PM
CENTER STAGE,BL862,SC,10AM--11PM
CHEERLEADERS,BL475,AZ,8AM--11PM
CLUBHOUSE BAR,BL233,CT,6AM--12PM
BURKE'S CAFE  INCORPORATED,BL332,ME,7AM--12PM
BLUE JEAN CAFE,BL278,CA,7AM--12PM
CHINA GARDEN,BL962,AL,8AM--12PM
DEAD END SALOON,BL471,ND,6AM--11PM
AMERICAN LEGION FEDERAL POST #19,BL716,MT,9AM--11PM
dalesio's of little italy llc,BL143,AK,7AM--11PM
FAMOUS RESTAURANT,BL011,GA,7AM--11PM
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,BL179,SD,10AM--12PM
BLARNEY STONE PUB,BL009,MO,6AM--11PM
FRANKLINTOWN INN,BL616,NH,10AM--11PM
DARBY'S,BL772,AK,8AM--11PM
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),BL571,CO,9AM--11PM
CAPTAIN LARRY'S,BL895,MD,8AM--11PM
BALTIMORE MARRIOTT WATERFRONT/GRILLE 700 RESTAURAN,BL506,DC,10AM--11PM
BANJARA,BL495,PA,7AM--11PM
FOXY LADY,BL772,MO,10AM--12PM
BANTHAI,BL278,OR,7AM--11PM
GEORGE'S CAFETERIA,BL660,AZ,6AM--12PM
BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA,BL444,CT,6AM--12PM
CHOCOLATEA,BL536,IL,7AM--11PM
3 MILES HOUSE  INC.,BL872,NH,10AM--11PM
GARDEN BEEF & BEER,BL184,NY,9AM--11PM
COCO MOKA CAFå,BL239,CO,9AM--11PM
GARDEN RESTAURANT,BL914,MO,9AM--12PM
FOGO DE CHAO,BL954,UT,8AM--12PM
DIONYSUS RESTAURANT & LOUNGE,BL047,MN,8AM--11PM
CAFå EXPRESS,BL683,SD,8AM--12PM
CHUNG MEE RESTAURANT,BL904,WV,6AM--12PM
3 MILES HOUSE  INC.,BL714,AL,9AM--11PM
ARCH SOCIAL CLUB,BL864,DE,9AM--11PM
DUNKIN DONUTS & BASKIN ROBBINS,BL941,HI,8AM--12PM
CHINA CHEF,BL836,MN,10AM--11PM
ESPN  ZONE,BL332,CO,7AM--12PM
FEDERAL HILL LOUNGE,BL127,UT,7AM--11PM
COOPER'S LIQUOR (568-570),BL300,OR,10AM--12PM
3 MILES HOUSE  INC.,BL655,MA,7AM--11PM
CAFE ZEN,BL028,AL,10AM--12PM
FRIEND'S RESTAURANT AND SPIRITS,BL386,NE,10AM--12PM
FREDERICK STATION SALOON,BL322,AL,7AM--11PM
DUNKIN DONUTS/BASKIN ROBBINS,BL264,IA,9AM--12PM
CLUB HAREM,BL119,LA,8AM--12PM
COURTYARD BY MARRIOTT & COURTYARD CAFE & LOUNGE,BL296,CA,7AM--11PM
CHUNG MEE RESTAURANT,BL492,MA,10AM--12PM
FLETCHERS,BL114,UT,9AM--12PM
BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR,BL091,MI,8AM--11PM
CEDONIA INN,BL146,LA,8AM--12PM
BYZANTIO CAFå,BL471,FL,7AM--11PM
BERMUDA BAR,BL719,MO,7AM--12PM
COLD STONE CREAMERY #1479,BL999,CA,7AM--11PM
DANCING PIGS,BL744,AL,8AM--12PM
CEASAR'S DEN,BL357,NY,8AM--12PM
BLEACHERS,BL923,NH,7AM--11PM
AVENUE BAR & LIQUOR,BL736,CT,9AM--12PM
FIELDER'S TAVERN,BL683,MD,8AM--12PM
CIRCUS BAR & RESTAURANT,BL456,MT,7AM--11PM
GENTLEMEN OF CHARISMA,BL623,NH,9AM--12PM
aramark at citi bank baltimore,BL781,IL,9AM--12PM
CURB SHOPPE,BL709,NE,8AM--11PM
DESERT CAFE'(1605-07),BL745,KS,9AM--11PM
ELLIOT'S POUR HOUSE,BL307,MO,8AM--12PM
aramark at citi bank baltimore,BL126,OR,8AM--11PM
BLUE CRAB EXPRESS & CAFå INC.,BL894,DE,8AM--12PM
BURGER KING,BL009,AZ,9AM--12PM
GALLERY,BL114,VA,10AM--12PM
DUDA'S TAVERN,BL914,HI,7AM--12PM
CLUB CHOICES,BL034,HI,8AM--11PM
BLARNEY STONE INN,BL695,FL,7AM--11PM
BREWER'S HILL PUB & GRILL,BL233,NC,8AM--11PM
BAJA BEACH CLUB  (COMBINED WITH BAR-L),BL134,NV,6AM--12PM
EL RANCHO GRANDE,BL810,OR,6AM--11PM
CHUBBIES CLUB,BL443,AL,8AM--11PM
B,BL689,CO,8AM--11PM
COTTON CLUB,BL588,AL,8AM--12PM
GEORGE'S CAFETERIA,BL976,ND,8AM--11PM
CALIFORNIA PIZZA KITCHEN,BL471,CO,10AM--12PM
COTTON CLUB,BL296,IL,10AM--11PM
FOUR G'S LIQUOR & LOUNGE,BL489,NY,9AM--12PM
CANTON'S PORTSIDE TAVERN,BL658,SD,7AM--12PM
COLD STONE CREAMERY #1479,BL719,IL,7AM--12PM
CLUBHOUSE BAR & GRILL,BL716,MO,10AM--12PM
EAGLE NEST,BL640,MT,8AM--12PM
CORKS,BL296,MA,9AM--12PM
BLUE JEAN CAFE,BL241,VA,7AM--12PM
BLACKTIE SERVICES,BL877,WV,8AM--11PM
CORRADO'S CAFå,BL484,ND,8AM--12PM
B G'S,BL475,MA,7AM--12PM
EAT MUST BE FIRST,BL962,IL,9AM--11PM
BLARNEY STONE PUB,BL877,CA,6AM--11PM
COURTYARD BY MARRIOTT & COURTYARD CAFE & LOUNGE,BL622,MD,9AM--11PM
CHARLES ST DELI,BL894,NC,6AM--12PM
CHINA EAST,BL752,CT,7AM--12PM
CAROLINA'S TEX-MEX RESTURANT,BL296,NC,7AM--11PM
CAFE MANET,BL014,WY,7AM--12PM
DUTCH POT CAFå,BL189,FL,7AM--12PM
BARISTA ESPRESSO CAFå,BL660,NH,8AM--12PM
B & O CAFE,BL512,NH,10AM--12PM
GEORGIO'S,BL317,null,7AM--12PM
CHINA EAST,BL174,MS,7AM--11PM
BROOKLYN INN  LLC,BL443,NH,7AM--12PM
CLIFTON PARK GOLF COURSE SNACK BAR,BL097,OR,9AM--11PM
COLLINS CORNER,BL994,VA,7AM--11PM
BOUILLABAISSE CAFå,BL876,SD,8AM--11PM
CORRADO'S CAFå,BL758,LA,8AM--11PM
DRIFTERS RAW BAR & GRILL,BL092,IL,7AM--11PM
EDENS LOUNGE,BL486,HI,9AM--11PM
BUTTS & BETTY'S TAVERN  INC.,BL331,CO,8AM--12PM
AKDEY SUBWAY  INC.,BL973,IL,6AM--12PM
CLUB CLIMAX,BL709,AK,7AM--12PM
COCO MOKA CAFå,BL948,HI,9AM--11PM
GECKOS,BL103,KS,9AM--11PM
FOUL BALL BAR,BL604,null,7AM--11PM
BIRCHES RESTAURANT,BL384,WY,6AM--12PM
FRIENDLY  FRIED  CHICKEN,BL992,WV,9AM--11PM
ECLECTIC CAFå,BL559,IA,6AM--12PM
GARDEN BEEF & BEER,BL636,VA,8AM--11PM
EL RANCHO GRANDE,BL173,IL,9AM--12PM
DUCK'S BLACK SATIN LOUNGE,BL706,IL,7AM--12PM
EASTSIDE  SPORTS  SOCIAL  CLUB,BL512,OR,6AM--11PM
BLUE JEAN CAFE,BL491,UT,7AM--12PM
BALTIMORE BEVERAGE CO. LLC,BL698,RI,10AM--12PM
BURKE'S CAFE  INCORPORATED,BL174,FL,8AM--12PM
COLD STONE CREAMERY #1479,BL657,KS,10AM--12PM
CHINA EUTAW EXPRESS,BL850,WV,6AM--12PM
CAFå ON THE SQUARE  LLC,BL331,HI,7AM--12PM
CAPTAIN LARRY'S,BL280,MO,8AM--12PM
COSMOPOLITAN BAR & GRILL,BL151,LA,6AM--11PM
CHARLES RESTAURANT  &  CARRYOUT,BL242,WV,10AM--11PM
CANTON'S PEARLS,BL302,AZ,10AM--12PM
ARCOS,BL894,WV,7AM--12PM
DING HOW RESTAURANT,BL579,WV,7AM--12PM
COSMOS RESTAURANT-CARRYOUT (5427-29),BL899,CT,8AM--11PM
DASH SEAFOOD & CHICKEN,BL162,IL,8AM--11PM
DANNY'S LOUNGE,BL506,CO,8AM--11PM
BURKE'S CAFE  INCORPORATED,BL134,ND,7AM--11PM
BROOKLYN INN  LLC,BL728,ND,8AM--11PM
300 SOUTH ANN STREET,BL395,NH,9AM--11PM
DAILY  GRIND  COFFEE  HOUSE,BL656,IL,8AM--12PM
CLAYTON FINE BOOKS & CAFå,BL443,ND,9AM--12PM
CHINA EUTAW EXPRESS,BL426,NE,10AM--12PM
CHIPOTLE MEXICAN GRILL,BL770,KS,8AM--11PM
EL RANCHO BLANCO,BL460,IA,6AM--11PM
BOB'S OLDIE'S CAFå,BL114,HI,6AM--12PM
CHEERLEADERS SPORTS BAR,BL593,NE,9AM--12PM
CHICKEN RICO,BL109,AR,8AM--11PM
COCONUT CAFå,BL559,NV,6AM--12PM
CLUB MIAMI,BL623,DC,8AM--12PM
BANJARA,BL064,VT,8AM--11PM
BIRCHES RESTAURANT,BL085,TN,7AM--12PM
CHOPPER'S TAVERN,BL302,AL,9AM--11PM
BERT'S EATS & DRINKS (3103-05),BL436,CT,7AM--11PM
CATCH 22 SALOON,BL460,TN,9AM--11PM
DIZZY  IZZY,BL242,NY,10AM--11PM
ELDORADO INC.,BL850,FL,9AM--11PM
BROOKLYN BOOSTER CLUB,BL420,SC,7AM--12PM
BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR,BL005,AR,7AM--12PM
CLUB CLIMAX,BL695,CO,7AM--11PM
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),BL462,ME,8AM--12PM
CLUB BAR,BL715,GA,8AM--11PM
DUKEM ETHIOPIAN RESTAURANT,BL239,WV,6AM--11PM
club charles zodiac     (1724-1726 n. charles st),BL765,DC,7AM--12PM
BEST WESTERN TRAVEL PLAZA,BL610,HI,10AM--12PM
BO BROOKS,BL141,MS,6AM--12PM
CEASAR'S DEN,BL941,OK,8AM--11PM
CROSSROADS SPORTS PUB & GRILL,BL263,UT,6AM--12PM
CHINA CHEF,BL484,MO,9AM--12PM
BIG BAD WOLF'S HOUSE OF BARBEQUE,BL564,AK,6AM--12PM
DIONYSUS RESTAURANT & LOUNGE,BL091,TN,9AM--11PM
CLUB CHOICES,BL783,AL,8AM--12PM
BERMUDA BAR,BL436,MD,9AM--11PM
CHAMPAGNE TONY'S,BL480,NY,8AM--12PM
BAY ATLANTIC CLUB,BL109,ME,8AM--11PM
CLUB OKAPI,BL792,MD,8AM--11PM
BREEZE INC.,BL456,CT,7AM--12PM
FOUL BALL BAR,BL495,HI,7AM--11PM
FULTON RESTAURANT,BL433,SD,9AM--11PM
ANGLE INN,BL660,AL,9AM--12PM
EXCLUSIVE,BL265,AL,7AM--11PM
FIELDER'S TAVERN,BL878,TN,10AM--11PM
BUTTS & BETTY'S TAVERN  INC.,BL239,WI,9AM--11PM
BARISTA ESPRESSO CAFå,BL421,MO,8AM--12PM
CARLOS O'CHARLIES,BL043,WY,8AM--12PM
ACROPOLIS RESTAURANT,BL504,MI,9AM--12PM
CANTON'S PEARLS,BL043,WY,7AM--11PM
DUCKY PLEASURE CLUB,BL034,SD,9AM--12PM
B-WATCH,BL770,FL,7AM--11PM
CAZBAR,BL743,AZ,6AM--12PM
GALLERY,BL020,WI,9AM--12PM
COCO MOKA CAFå,BL640,VT,9AM--11PM
COLD STONE CREAMERY# 102,BL656,OR,8AM--11PM
BEST WESTERN TRAVEL PLAZA,BL634,MO,6AM--12PM
ELVIS RESTAURANT,BL576,MS,9AM--12PM
CLUBHOUSE BAR,BL038,NE,8AM--11PM
BALTMORE KICKERS,BL736,TN,9AM--12PM
BLARNEY STONE PUB,BL827,HI,6AM--11PM
ALDO'S   RESTAURANT,BL719,IL,9AM--12PM
CC LOUNGE,BL836,WV,6AM--11PM
B.G.'S PUB INCORPORATED,BL894,MO,10AM--12PM
COLONIAL INN,BL791,AL,8AM--11PM
ARAMARK FHC SPORTS (BAR 236),BL492,NY,9AM--12PM
BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR,BL230,SD,8AM--12PM
GALLERY CAFå,BL530,SD,8AM--11PM
ARIZONA BAR & GRILL,BL659,GA,6AM--11PM
aramark at citi bank baltimore,BL020,NY,9AM--12PM
ARCOS,BL443,FL,8AM--12PM
AMERICAN FOOD SERVICE,BL758,MI,9AM--11PM
CORKY'S GRILL,BL652,MO,10AM--11PM
BALTIMORE ESTONIAN SOCIETY,BL639,HI,7AM--11PM
DOUGHERTY'S,BL899,NE,8AM--11PM
BEDROCK (KITCHEN AREA),BL364,NY,10AM--12PM
GARDEN RESTAURANT,BL049,MS,9AM--12PM
GOLDEN WEST CAFå  INC.,BL579,MS,7AM--11PM
AMERICAN LEGION FEDERAL POST #19,BL026,DC,9AM--11PM
CHARLESTON,BL231,GA,8AM--11PM
babalu grill,BL460,TN,8AM--12PM
FEDERAL HILL LOUNGE,BL777,ME,9AM--11PM
ALDO'S   RESTAURANT,BL962,TN,6AM--12PM
FAMOUS RESTAURANT,BL444,MD,8AM--11PM
club charles zodiac     (1724-1726 n. charles st),BL316,WV,8AM--11PM
CLUB PHOENIX,BL659,MI,9AM--11PM
FIRESIDE NORTH LIQUORS,BL921,MO,6AM--11PM
ARIZONA BAR & GRILL,BL733,AZ,7AM--12PM
CIRCUS BAR & RESTAURANT,BL462,MS,6AM--12PM
ARAMARK FHC SPORTS (BAR 252-253),BL657,CO,9AM--12PM
BRENDAL  INC.,BL126,DC,8AM--12PM
ARCH SOCIAL CLUB,BL688,MN,6AM--12PM
AMBROSIA'S,BL300,NY,8AM--12PM
DIMIS CAFå AND GRILL  INC.,BL104,WV,7AM--12PM
GOLDEN WEST CAFå  INC.,BL526,MN,9AM--11PM
GOLDEN NUGGET LOUNGE,BL658,OR,6AM--12PM
BALTIMORE BEVERAGE CO. -STARBUCKS,BL014,WV,9AM--12PM
GLADIATORS ASSOCIATIONS  INC,BL744,WI,9AM--12PM
FREDERICK STATION SALOON,BL716,CT,9AM--12PM
CEDONIA INN,BL038,IL,8AM--11PM
A TASTE OF CHINA,BL108,SC,7AM--12PM
CHINA WOK,BL937,WY,7AM--12PM
FLAMERS BURGER & CHICKEN,BL536,KS,8AM--11PM
COLD STONE CREAMERY #1479,BL914,IL,7AM--12PM
COMMON GROUND,BL084,UT,9AM--12PM
CRAZY LIL'S,BL278,MD,8AM--11PM
CEDONIA INN,BL316,NE,7AM--11PM
BEDROCK (KITCHEN AREA),BL492,AZ,7AM--11PM
CLUB ONE,BL928,DE,9AM--12PM
BREEZE INC.,BL010,IA,10AM--12PM
BERT'S EATS & DRINKS (3103-05),BL924,UT,9AM--12PM
BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR,BL577,CO,10AM--12PM
DREAM TAVERN  CARRIBEAN  U.S.A.,BL226,ME,10AM--12PM
AMERICAN LEIGON FORT MCHENRY POST #133,BL486,WY,10AM--11PM
Fleming's Prime Steakhouse and Wine Bar,BL792,ME,10AM--12PM
FRANK'S PIZZA,BL577,WV,6AM--11PM
GLADIATORS ASSOCIATIONS  INC,BL659,AR,8AM--12PM
FIVE GUYS FAMOUS BURGERS & FRIES,BL722,MT,7AM--12PM
CHINA CHEF,BL492,UT,9AM--11PM
BLUE JEAN CAFE,BL009,CA,7AM--12PM
ARAMARK FHC SPORTS (BAR 210),BL332,NY,10AM--12PM
BLEACHERS,BL941,DE,6AM--11PM
BURGER KING #10295,BL010,NH,9AM--11PM
BOB'S BAR,BL962,AR,9AM--12PM
ARCOS,BL851,AL,8AM--12PM
EDIE'S DELI & GRILL,BL239,null,7AM--11PM
BOB'S OLDIE'S CAFå,BL264,ME,8AM--11PM
BELVEDERE TOWERS CAFå,BL233,PA,7AM--11PM
ANNS AT LEXINGTON PLACE,BL485,GA,7AM--11PM
COTTON CLUB,BL084,NY,6AM--11PM
